Location,type,m,lat,long,elr
http://purl.org/rail/resource/TiplocBHAMNHS,http://purl.org/rail/is/TCLocation,42.45,52.47,-1.9,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationBHAMNHS1,http://purl.org/rail/is/TCLocation,42.7,52.47,-1.903333333,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationBHAMNHS2,http://purl.org/rail/is/TCLocation,42.95,52.47,-1.906666667,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationFIVEWYS,http://purl.org/rail/is/TCLocation,#DIV/0!,#DIV/0!,#DIV/0!,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationFIVEWYS1,http://purl.org/rail/is/TCLocation,43.77,52.46333333,-1.916666667,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationFIVEWYS2,http://purl.org/rail/is/TCLocation,44.34,52.45666667,-1.923333333,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationUNVRSYB,http://purl.org/rail/is/TCLocation,#DIV/0!,#DIV/0!,#DIV/0!,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationUNVRSYB1,http://purl.org/rail/is/TCLocation,45.14666667,52.44666667,-1.93,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationUNVRSYB2,http://purl.org/rail/is/TCLocation,45.38333333,52.44333333,-1.93,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationSELYOAK,http://purl.org/rail/is/TCLocation,#DIV/0!,#DIV/0!,#DIV/0!,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationSELYOAK1,http://purl.org/rail/is/TCLocation,45.98,52.43333333,-1.926666667,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationSELYOAK2,http://purl.org/rail/is/TCLocation,46.34,52.42666667,-1.923333333,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationBOURNVL,http://purl.org/rail/is/TCLocation,#DIV/0!,#DIV/0!,#DIV/0!,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationBOURNVL1,http://purl.org/rail/is/TCLocation,46.83333333,52.41666667,-1.926666667,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationBOURNVL2,http://purl.org/rail/is/TCLocation,46.96666667,52.41333333,-1.933333333,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationKNORCT,http://purl.org/rail/is/TCLocation,#DIV/0!,#DIV/0!,#DIV/0!,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationKNORCT1,http://purl.org/rail/is/TCLocation,47.14333333,52.41,-1.94,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationKNORCT2,http://purl.org/rail/is/TCLocation,47.18666667,52.41,-1.94,http://purl.org/rail/resource/LineRefBAG1
