s,m,lat,long
http://purl.org/rail/resource/TiplocBHAMNHS,42.45,52.47,-1.9
http://purl.org/rail/resource/TiplocFIVEWYS,43.2,52.47,-1.91
http://purl.org/rail/resource/TiplocUNVRSYB,44.91,52.45,-1.93
http://purl.org/rail/resource/TiplocSELYOAK,45.62,52.44,-1.93
http://purl.org/rail/resource/TiplocBOURNVL,46.7,52.42,-1.92
http://purl.org/rail/resource/TiplocKNORCT,47.1,52.41,-1.94
http://purl.org/rail/resource/TiplocKNOROTP,47.23,52.41,-1.94
http://purl.org/rail/resource/TiplocLIFODWJ,47.25,52.41,-1.92
http://purl.org/rail/resource/TiplocNRTF,48.15,52.4,-1.96
http://purl.org/rail/resource/TiplocLONB,49.17,52.39,-1.97
http://purl.org/rail/resource/TiplocLONBRS,49.38,52.39,-1.98
http://purl.org/rail/resource/TiplocCOFTONS,50.4,52.37,-1.98
http://purl.org/rail/resource/TiplocBGRN,51.83,52.36,-1.99
http://purl.org/rail/resource/TiplocBLACKWL,52.85,52.34,-2
http://purl.org/rail/resource/TiplocBRMSGRV,55.37,52.32,-2.04
http://purl.org/rail/resource/TiplocSTKWKSJ,57.5,52.29,-2.07
http://purl.org/rail/resource/TiplocSPTCHLL,66.26,52.17,-2.14
http://purl.org/rail/resource/TiplocSPTCHLL,66.26,52.18,-2.14
http://purl.org/rail/resource/TiplocECKNGTL,74.89,52.06,-2.11
http://purl.org/rail/resource/TiplocASHCMOD,79.31,52.0,-2.1
http://purl.org/rail/resource/TiplocASHCHRC,79.47,51.99,-2.1
http://purl.org/rail/resource/TiplocASHCWGF,79.75,51.99,-2.1
http://purl.org/rail/resource/TiplocCHLTNHS,86.02,51.9,-2.09
http://purl.org/rail/resource/TiplocCHLTALC,86.25,51.9,-2.09
http://purl.org/rail/resource/TiplocALSTONS,86.4,51.9,-2.09
http://purl.org/rail/resource/TiplocCHLTNHM,86.72,51.89,-2.09
http://purl.org/rail/resource/TiplocCHLTLDL,87.29,51.89,-2.1
http://purl.org/rail/resource/TiplocBNWDJN,92.21,51.86,-2.21
http://purl.org/rail/resource/TiplocBNWDSDG,92.55,51.86,-2.22
